Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
267,"1 Blade Close, Berkeley Vale NSW 2261","Blade Close, Berkeley Vale, Gosford, Central Coast Council, New South Wales, 2261, Australia",-33.3308832,151.4237312,BP,159.9,182.9
268,"12 Gallipoli St, St Marys NSW 2760","Gallipoli Street, Chatsworth, St Marys, Sydney, Penrith City Council, New South Wales, 2760, Australia",-33.7803903,150.7699676,BP,133.9,155.9
270,"208-212 Cabramatta Rd, Cabramatta West NSW 2166","Cabramatta Road, Cabramatta West, Sydney, Fairfield City Council, New South Wales, 2166, Australia",-33.8993905,150.9192544,BP,138.9,160.9
271,"5 Bullecourt Avenue, Milperra NSW 2214","Bullecourt Avenue, Milperra, Sydney, Canterbury-Bankstown Council, New South Wales, 2214, Australia",-33.9373066,150.9855209,BP,Not Selling U91    ,154.9
277,"76 Glossop Street, St Marys NSW 2760","Glossop Street, St Marys, Sydney, Penrith City Council, New South Wales, 2760, Australia",-33.7638969,150.780598,BP,Not Selling U91    ,173.9
279,"152 Moorefields Road, Kingsgrove NSW 2208","Moorefields Road, Kingsgrove, Sydney, Canterbury-Bankstown Council, St George, New South Wales, 2208, Australia",-33.9303119,151.0984238,BP,132.9,155.9
281,"369C Bexley Road, Bexley NSW 2207","Bexley Road, Bexley, Sydney, St George, New South Wales, 2207, Australia",-33.9453976,151.1250047,BP,136.9,158.9
289,"585 Bunnerong Rd, MATRAVILLE NSW 2036","Bunnerong Road, Matraville, Sydney, Randwick City Council, Eastern Suburbs, New South Wales, 2036, Australia",-33.9535417,151.2306314,BP,Not Selling U91    ,158.9
301,"63 CONNELLS POINT RD, SOUTH HURSTVILLE NSW 2221","Connells Point Road, South Hurstville, Sydney, Georges River Council, St George, New South Wales, 2221, Australia",-33.981312,151.1023015,BP,135.9,156.9
306,"504 Pittwater road, North Manly NSW 2100","Pittwater Road, North Manly, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2100, Australia",-33.7683848,151.2679863,BP,Not Selling U91    ,165.9
347,"494 Forest Rd, PENSHURST NSW 2222","Forest Road, Penshurst, Sydney, Georges River Council, St George, New South Wales, 2222, Australia",-33.9635923,151.0903384,BP,131.9,149.9
349,"362 Putty Road, Wilberforce NSW 2756","Putty Road, Wilberforce, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",-33.5618082,150.8386034,BP,139.9,160.9
352,"758-760 Gymea Bay Rd, GYMEA NSW 2227","Gymea Bay Road, Gymea, Sydney, Sutherland Shire Council, New South Wales, 2227, Australia",-34.0376874,151.084481,BP,Not Selling U91    ,165.9
378,"6 Hume Hwy, Warwick Farm NSW 2171","Hume Highway, Warwick Farm, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.9077435,150.9423714,BP,Not Selling U91    ,151.9
