Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
1120,"69 Rouse St, TENTERFIELD NSW 2372","Shell Roadhouse Tenterfield, 69, Rouse Street, Tenterfield, Tenterfield Shire Council, New South Wales, 2372, Australia",-29.0649874,152.0167845,BP,Not Selling U91    ,Not Selling P98
1130,"3 Travelstop Way, Lavington NSW 2641","Travelstop Way, Lavington, Albury, Albury City Council, New South Wales, 2641, Australia",-36.0376902,146.9685289,BP,Not Selling U91    ,Not Selling P98
1133,"415 Boundary Road, Maraylya NSW 2765","Boundary Road, Maraylya, Sydney, The Hills Shire Council, Hills District, New South Wales, 2765, Australia",-33.6076673,150.9070973,BP,142.9,169.9
1139,"170 Dudley Road, Whitebridge NSW 2290","Dudley Road, Whitebridge, Lake Macquarie City Council, New South Wales, 2290, Australia",-32.9757814,151.7044502,BP,157.7,183.7
1171,"4 Duke Street, QUIRINDI NSW 2343","Duke Street, Quirindi, Liverpool Plains Shire Council, New South Wales, 2343, Australia",-31.5234887,150.6763852,BP,133.7,151.7
1178,"360 New England Hwy, Rutherford NSW 2320","BP, 360, New England Highway, Rutherford, Maitland City Council, New South Wales, 2320, Australia",-32.7099156,151.51671,BP,155.9,178.9
1179,"2398 Pacific Highway, Heatherbrae NSW 2324","Pacific Highway, Heatherbrae, Raymond Terrace, Port Stephens Council, New South Wales, 2324, Australia",-32.7779958,151.7517262,BP,Not Selling U91    ,181.9
1183,"144 Wentworth Street, Port Kembla NSW 2505","Wentworth Street, Port Kembla, Wollongong City Council, New South Wales, 2505, Australia",-34.4827469,150.9033518,BP,Not Selling U91    ,Not Selling P98
1186,"8451 Pacific Highway, Urunga NSW 2455","Pacific Highway, Urunga, Bellingen Shire Council, New South Wales, 2455, Australia",-30.5459331,153.0043066,BP,144.9,164.9
1198,"100 Pacific Highway, Tuggerah NSW 2259","BP, 100, Pacific Highway, Tuggerah, Central Coast Council, New South Wales, 2259, Australia",-33.30577145,151.4198024,BP,Not Selling U91    ,180.9
1207,"155 Pennant Hills Rd, Normanhurst NSW 2076","Pennant Hills Road, Normanhurst, Sydney, The Council of the Shire of Hornsby, New South Wales, 2076, Australia",-33.7236885,151.0906235,BP,137.9,159.9
1210,"73-75 Bulahdelah Way, Bulahdelah NSW 2423","Bulahdelah Way, Bulahdelah, Mid-Coast Council, New South Wales, 2423, Australia",-32.3978786,152.2166954,BP,152.9,176.9
1213,"18n Derby St, WALCHA NSW 2354","NRMA Mountain Motors, 18N, Derby Street, Walcha, Walcha Council, New South Wales, 2354, Australia",-30.98462185,151.5937764,BP,142,Not Selling P98
1269,"2-4 Kippax St, Greystanes NSW 2145","Kippax Street, Greystanes, Sydney, Cumberland City Council, New South Wales, 2145, Australia",-33.8270252,150.938433,BP,Not Selling U91    ,153.9
1278,"116-118 Railside Ave, BARGO NSW 2574","Railside Avenue, Bargo, Wollondilly Shire Council, New South Wales, 2574, Australia",-34.2872073,150.5787351,BP,Not Selling U91    ,Not Selling P98
1288,"56-60 Bathurst Road, Orange NSW 2800","Bathurst Road, Bowen, Orange, Orange City Council, New South Wales, 2800, Australia",-33.2854924,149.106092,BP,Not Selling U91    ,158.9
1292,"2637 Irrigation Way, Leeton NSW 2705","SUPA IGA Golden Apple, 2637, Irrigation Way, Leeton, Leeton Shire Council, New South Wales, 2705, Australia",-34.57405505,146.4123446,BP,139.9,Not Selling P98
1293,"103 Bridge Street, URALLA NSW 2358","Bridge Street, Uralla, Uralla Shire Council, New South Wales, 2358, Australia",-30.6464497,151.4929367,BP,144.9,158.9
1297,"68 MAIN ST, WEST WYALONG NSW 2671","Main Street, West Wyalong, Bland Shire Council, New South Wales, 2671, Australia",-33.9224661,147.2031221,BP,138.9,Not Selling P98
1308,"82 Cowabbie St, COOLAMON NSW 2701","Cowabbie Street, Coolamon, Coolamon Shire Council, New South Wales, 2701, Australia",-34.8079944,147.197529,BP,135.9,Not Selling P98
1313,"1721 Pittwater Road, Mona Vale NSW 2103","1721, Pittwater Road, Mona Vale, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2103, Australia",-33.68046395,151.3024858,BP,Not Selling U91    ,164.9
1370,"380 Pacific Hwy, Coffs Harbour NSW 2450","Coffs Coast Kegel Barn, 380, Pacific Highway, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.317657,153.0892617,BP,145.9,166.9
1401,"13-15 Summerland Way, Kyogle NSW 2474","Summerland Way, Kyogle, Kyogle Council, New South Wales, 2474, Australia",-28.6179912,153.0034615,BP,142.9,Not Selling P98
1405,"53 George Street, Singleton NSW 2330","BP Singleton, 53, George Street, Singleton, Singleton Council, New South Wales, 2330, Australia",-32.5617825,151.1748319,BP,Not Selling U91    ,177.9
1417,"302 Tamworth Road, MANILLA NSW 2346","Tamworth Road, Manilla, Tamworth Regional Council, New South Wales, 2346, Australia",-30.7580523,150.7313488,BP,141.9,161.9
1418,"Partridge Street, Macksville NSW 2447","Partridge Street, Macksville, Nambucca Valley Council, New South Wales, 2447, Australia",-30.7088031,152.922195,BP,147.9,169.9
1437,"601 Pacific Hwy, Boambee NSW 2450","Pacific Highway, Boambee, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.3531549,153.0639254,BP,145.9,166.9
1443,"77 Church Street, Mudgee NSW 2850","77, Church Street, Mudgee, Mid-Western Regional Council, New South Wales, 2850, Australia",-32.59549685,149.5882494,BP,Not Selling U91    ,169.9
1445,"46 Clarinda Street, Parkes NSW 2870","Clarinda Street, Parkes, Parkes Shire Council, New South Wales, 2870, Australia",-33.1290637,148.1734623,BP,Not Selling U91    ,166.9
1449,"51-63 Whylandra Street, Dubbo West NSW 2830","Whylandra Street, West Dubbo, Dubbo, Dubbo Regional Council, New South Wales, 2830, Australia",-32.253698,148.5890143,BP,Not Selling U91    ,164.9
1450,"68-89 Ozone Street, Chinderah NSW 2487","Ozone Street, Chinderah, Tweed Shire Council, New South Wales, 2487, Australia",-28.2443719,153.5571807,BP,Not Selling U91    ,176.9
1452,"423 Frome St, Moree NSW 2400","Frome Street, Moree, Moree Plains Shire Council, New South Wales, 2400, Australia",-29.4759534,149.8431166,BP,139.9,155.9
1453,"162 Sunnyholt Rd, Blacktown NSW 2148","Sunnyholt Road, Blacktown, Sydney, Blacktown City Council, New South Wales, 2148, Australia",-33.7717267,150.9114805,BP,131.7,153.7
1469,"81 Summer Street, Orange NSW 2800","Pizza Capers, 81-85, Summer Street, Calare, Orange, Orange City Council, New South Wales, 2800, Australia",-33.2826956,149.094891,BP,Not Selling U91    ,Not Selling P98
1479,"701 Medowie Road, Medowie NSW 2318","Medowie Road, Medowie, Port Stephens Council, New South Wales, 2318, Australia",-32.7418931,151.8675736,BP,144.9,165.9
1486,"139-141 Maitland St, MUSWELLBROOK NSW 2333","Maitland Street, Muswellbrook, Muswellbrook Shire Council, New South Wales, 2333, Australia",-32.269738,150.8882181,BP,131.9,153.9
1489,"102 Commerce Street, Taree NSW 2430","Commerce Street, Taree, Mid-Coast Council, New South Wales, 2430, Australia",-31.9159031,152.4577708,BP,147.9,168.9
1497,"403 Argyle St, Picton NSW 2571","Argyle Street, Picton, Wollondilly Shire Council, New South Wales, 2571, Australia",-34.1959501,150.607585,BP,Not Selling U91    ,Not Selling P98
1507,"157 Penshurst street, Willoughby NSW 2068","Penshurst Street, Willoughby, Sydney, Willoughby City Council, Lower North Shore, New South Wales, 2068, Australia",-33.8014815,151.1986094,BP,Not Selling U91    ,Not Selling P98
1510,"52 Yass Road Queanbeyan, Queanbeyan NSW 2620","BP, 52, Yass Road, Queanbeyan East, Queanbeyan, Queanbeyan-Palerang Regional Council, New South Wales, 2620, Australia",-35.3412207,149.2444209,BP,Not Selling U91    ,Not Selling P98
1538,"309 Byron St, Inverell NSW 2360","Byron Street, Inverell, Inverell Shire Council, New South Wales, 2360, Australia",-29.7740258,151.1106888,BP,136.9,152.9
1566,"481 Pacific Highway, Wyoming NSW 2250","Pacific Highway, Wyoming, Gosford, Central Coast Council, New South Wales, 2250, Australia",-33.4088703,151.3500149,BP,155.9,178.9
1577,"1 Park St, GLOUCESTER NSW 2422","Park Street, Gloucester, Mid-Coast Council, New South Wales, 2422, Australia",-32.0056929,151.9582969,BP,136.9,157.9
1578,"9 KING ST, WARNERS BAY NSW 2282","King Street, Warners Bay, Lake Macquarie City Council, New South Wales, 2282, Australia",-32.9731001,151.6487366,BP,Not Selling U91    ,180.9
1586,"37 Vermont Street, BAROOGA NSW 3644","Vermont Street, Barooga, Berrigan Shire Council, New South Wales, 3644, Australia",-35.9134099,145.6879627,BP,139.9,Not Selling P98
1606,"477 Banna Avenue, Griffith NSW 2680","Banna Avenue, Griffith, Griffith City Council, New South Wales, 2680, Australia",-34.2898741,146.0607768,BP,Not Selling U91    ,Not Selling P98
1618,"49/51 Meninya St, Moama NSW 2731","BP, 49-51, Meninya Street, Moama, Murray River Council, New South Wales, 2731, Australia",-36.1111463,144.7549003,BP,145.9,165.9
1626,"1-5 Forbes Road, PARKES NSW 2870","Forbes Road, Parkes, Parkes Shire Council, New South Wales, 2870, Australia",-33.1415678,148.1704262,BP,Not Selling U91    ,166.9
1630,"51-59 Main Street, Mittagong NSW 2575","Main Street, Mittagong, Wingecarribee Shire Council, New South Wales, 2575, Australia",-34.4492374,150.4529173,BP,144.9,164.9
1633,"Sturt Hwy, BALRANALD NSW 2715","Sturt Highway, Balranald, Balranald Shire Council, New South Wales, Australia",-34.6309244,143.5437244,BP,135.5,154.9
1640,"2-8 DUNCANS RD, CLARENZA NSW 2460","Duncans Road, Clarenza, Grafton, Clarence Valley Council, New South Wales, 2460, Australia",-29.7031648,152.9568474,BP,Not Selling U91    ,157.9
1652,"7087 The Bucketts Way, TAREE SOUTH NSW 2430","The Bucketts Way, Taree South, Mid-Coast Council, New South Wales, 2430, Australia",-31.9376851,152.4575529,BP,146.9,Not Selling P98
1655,"Hume Highway, Marulan North NSW 2579","Hume Highway, Marulan, Goulburn Mulwaree Council, New South Wales, 2579, Australia",-34.6536021,150.0875201,BP,Not Selling U91    ,166.9
1667,"94 Sturt Highway, BALRANALD NSW 2715","Sturt Highway, Euston, Balranald, Balranald Shire Council, New South Wales, 2715, Australia",-34.5890303,143.2083493,BP,Not Selling U91    ,Not Selling P98
1670,"1 Tasman Road, GUMLY GUMLY NSW 2652","Tasman Road, Gumly Gumly, Wagga Wagga City Council, New South Wales, 2652, Australia",-35.1320268,147.4192156,BP,142.9,165.9
1672,"3055 New England Highway, WALLABADAH NSW 2343","New England Highway, Willow Tree, Wallabadah, Liverpool Plains Shire Council, New South Wales, 2343, Australia",-31.6196425,150.7624224,BP,Not Selling U91    ,Not Selling P98
1693,"35-37 Williwa St, PORTLAND NSW 2847","Williwa Street, Portland, Lithgow City Council, New South Wales, 2847, Australia",-33.3531452,149.982272,BP,143.9,Not Selling P98
1703,"216 Tweed Valley Way, Murwillumbah NSW 2484","Tweed Valley Way, South Murwillumbah, Tweed Shire Council, New South Wales, 2484, Australia",-28.3486473,153.4007716,BP,Not Selling U91    ,Not Selling P98
1710,"18-30 Kelly Street, SCONE NSW 2337","Kelly Street, Scone, Upper Hunter Shire Council, New South Wales, 2337, Australia",-32.0334002,150.8642246,BP,132.9,154.9
1726,"136 Pacific Highway, Coffs Harbour NSW 2450","Pacific Highway, Archville, Bonville, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.3820795,153.0473463,BP,Not Selling U91    ,166.9
1733,"107 Erskine Street, Dubbo NSW 2830","107, Erskine Street, Orana Heights, Dubbo, Dubbo Regional Council, New South Wales, 2830, Australia",-32.24427065,148.6112225,BP,Not Selling U91    ,166.9
1736,"202 Princes Hwy, South Nowra NSW 2541","Princes Highway, South Nowra, Nowra, Shoalhaven City Council, New South Wales, 2541, Australia",-34.8979732,150.6022835,BP,136.7,158.7
1744,"11 Grantham Street, Boggabri NSW 2382","Grantham Street, Boggabri, Narrabri Shire Council, New South Wales, 2382, Australia",-30.7108424,150.0435492,BP,139.9,159.9
1751,"20 PACIFIC HWY, BENNETTS GREEN NSW 2290","Pacific Highway, Bennetts Green, Lake Macquarie City Council, New South Wales, 2290, Australia",-32.9913811,151.6901933,BP,Not Selling U91    ,178.9
1756,"32 Fitzroy St, WARDELL NSW 2477","Fitzroy Street, Wardell, Ballina Shire Council, New South Wales, 2477, Australia",-28.9491614,153.4695196,BP,140.9,162.9
1763,"124 Nymagee Street, Nyngan NSW 2825","Nymagee Street, Nyngan, Bogan Shire Council, New South Wales, 2825, Australia",-31.5627415,147.1985894,BP,138.9,156.9
1789,"50 Alliance Avenue, Morisset NSW 2264","Alliance Avenue, Morisset, Lake Macquarie City Council, New South Wales, 2264, Australia",-33.1154819,151.4745193,BP,141.7,159.7
1790,"131 Dawson Street, Lismore NSW 2480","Dawson Street, Lismore, Lismore City Council, New South Wales, 2480, Australia",-28.80295,153.2841895,BP,141.9,164.9
1792,"33 Ocean Parade, Coffs Harbour NSW 2450","Ocean Parade, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.2965694,153.1360628,BP,142.9,Not Selling P98
1799,"69 Hoxton Park Road, Liverpool NSW 2170","Hoxton Park Road, Liverpool, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.9279925,150.9101691,BP,152.9,179.9
1802,"44-46 Lowe Street, QUEANBEYAN NSW 2620","Lowe Street, Queanbeyan, Queanbeyan-Palerang Regional Council, New South Wales, 2620, Australia",-35.3554886,149.2328879,BP,Not Selling U91    ,160.9
1803,"41 Bruxner Highway, WEST BALLINA NSW 2478","Bruxner Highway, West Ballina, Ballina Shire Council, New South Wales, 2478, Australia",-28.8597521,153.5182655,BP,Not Selling U91    ,Not Selling P98
1806,"2 Corkwood Rd, VALLA NSW 2448","Corkwood Road, Valla, Nambucca Valley Council, New South Wales, 2448, Australia",-30.6277685,152.9739636,BP,Not Selling U91    ,Not Selling P98
1807,"2 Leycester Street, Lismore NSW 2480","Leycester Street, Lismore, Lismore City Council, New South Wales, 2480, Australia",-28.8048165,153.2834366,BP,141.9,Not Selling P98
1811,"171-173 Pacific Hwy, Broadwater NSW 2472","Pacific Motorway, Broadwater, Richmond Valley Council, New South Wales, 2472, Australia",-29.04363,153.395703,BP,138.9,162.9
1813,"210 High Street, WAUCHOPE NSW 2446","BP Wauchope, 210, High Street, Wauchope, Port Macquarie-Hastings Council, New South Wales, 2446, Australia",-31.4666056,152.7191446,BP,Not Selling U91    ,Not Selling P98
1816,"5 Hanrahan Place, ORANGE NSW 2800","Hanrahan Place, Bletchington, Orange, Orange City Council, New South Wales, 2800, Australia",-33.2592351,149.1135465,BP,Not Selling U91    ,Not Selling P98
1831,"3-5 Mayne Street, MURRURUNDI NSW 2338","Mayne Street, Stuarts Rocks, Murrurundi, Upper Hunter Shire Council, New South Wales, 2338, Australia",-31.7653481,150.8416473,BP,Not Selling U91    ,Not Selling P98
1833,"1642 The Horsley Dr, Horsley Park NSW 2164","The Horsley Drive, Horsley Park, Sydney, Fairfield City Council, New South Wales, 2175, Australia",-33.8459486,150.8721848,BP,Not Selling U91    ,183.9
1834,"Newell Highway, Tomingley NSW 2869","Newell Highway, Tomingley, Narromine Shire Council, New South Wales, 2869, Australia",-32.6792828,148.193971,BP,138.7,156.7
1861,"9 King St, GOOLOOGONG NSW 2805","King Street, Gooloogong, Cowra Shire Council, New South Wales, 2805, Australia",-33.6156509,148.4352904,BP,141.9,Not Selling P98
1862,"63 Sydney Road, Kelso NSW 2795","Sydney Road, Kelso, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia",-33.4187549,149.6041493,BP,Not Selling U91    ,154.5
1870,"1106 Great Western Hwy., Lithgow NSW 2790","Great Western Highway, Bowenfels, Lithgow, Lithgow City Council, New South Wales, 2790, Australia",-33.4923481,150.1335856,BP,Not Selling U91    ,Not Selling P98
1881,"32-36 Princes Highway, MILTON NSW 2538","Princes Highway, Milton, Shoalhaven City Council, New South Wales, 2538, Australia",-35.3106038,150.4317342,BP,139.9,160.9
1897,"100 Ocean Drive, Port Macquarie NSW 2444","Ocean Drive, Port Macquarie, Port Macquarie-Hastings Council, New South Wales, 2444, Australia",-31.4551464,152.8980561,BP,133.9,159.9
1898,"42-46 King St, WARRAWONG NSW 2502","King Street, Kemblawarra, Warrawong, Wollongong City Council, New South Wales, 2502, Australia",-34.4854967,150.8875758,BP,Not Selling U91    ,187.9
1908,"137 Hardinge St, Deniliquin NSW 2710","Hardinge Street, Deniliquin, Edward River Council, New South Wales, 2710, Australia",-35.5347057,144.9489865,BP,143.9,163.9
1909,"39 Sydney Road, Raglan NSW 2795","Sydney Road, Raglan, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia",-33.4223775,149.6439752,BP,Not Selling U91    ,Not Selling P98
1910,"255-257 Stewart Street, Bathurst NSW 2795","Stewart Street, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia",-33.4192109,149.5671204,BP,Not Selling U91    ,Not Selling P98
1934,"1 Spring Street, SOUTH GRAFTON NSW 2460","Spring Street, South Grafton, Grafton, Clarence Valley Council, New South Wales, 2460, Australia",-29.7042831,152.9366643,BP,Not Selling U91    ,Not Selling P98
1941,"90 Campbell St, Narooma NSW 2546","Campbell Street, Narooma, Eurobodalla Shire Council, New South Wales, 2546, Australia",-36.2166319,150.1311321,BP,141.7,157.8
1942,"180 EDWARD ST, WAGGA WAGGA NSW 2650","Edward Street, Wagga Wagga, Wagga Wagga City Council, New South Wales, 2650, Australia",-35.1150753,147.3411147,BP,143.9,163.9
