Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
1019,"73-87 Oxide Street, BROKEN HILL NSW 2880","Oxide Street, Broken Hill, Broken Hill City Council, New South Wales, 2880, Australia",-31.9418876,141.4550824,Caltex,Not Selling U91    ,Not Selling P98
1025,"2 Johnson Road, Tuggerah NSW 2259","Caltex, 2, Johnson Road, Tuggerah, Central Coast Council, New South Wales, 2259, Australia",-33.2942792,151.4211044,Caltex,139.9,Not Selling P98
1046,"348 Barrenjoey Road, Newport NSW 2106","Barrenjoey Road, Newport, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2106, Australia",-33.6565111,151.3186419,Caltex,143.9,163.9
1056,"43 Macquarie Road, Cardiff NSW 2285","Macquarie Road, Cardiff, Lake Macquarie City Council, New South Wales, 2285, Australia",-32.939628,151.6579389,Caltex,159.9,179.9
1061,"656-658 THE ENTRANCE ROAD, WAMBERAL NSW 2260","The Entrance Road, Wamberal, Gosford, Central Coast Council, New South Wales, 2260, Australia",-33.4239948,151.4322115,Caltex,159.9,180.9
1062,"105 Wollombi Rd, CESSNOCK NSW 2325","Wollombi Road, Bellbird Heights, Cessnock, Cessnock City Council, New South Wales, 2325, Australia",-32.8410367,151.3390563,Caltex,159.9,180.9
1063,"155 The Entrance Rd, ERINA NSW 2250","The Entrance Road, Erina, Gosford, Central Coast Council, New South Wales, 2250, Australia",-33.4267758,151.3968387,Caltex,159.9,180.9
1066,"19 Bagnall Beach Road, SALAMANDER BAY NSW 2317","Bagnall Beach Road, Salamander Bay, Port Stephens Council, New South Wales, 2317, Australia",-32.7318358,152.1106394,Caltex,159.9,179.9
1073,"194 CAMPBELLTOWN RD, DENHAM COURT NSW 2565","Campbelltown Road, Denham Court, Sydney, Campbelltown City Council, New South Wales, 2565, Australia",-33.9927767,150.8448576,Caltex,Not Selling U91    ,Not Selling P98
1094,"60 Princes Hwy, NAROOMA NSW 2546","Puma Narooma, 60, Princes Highway, Narooma, Eurobodalla Shire Council, New South Wales, 2546, Australia",-36.2160973,150.1263532,Caltex,138.9,Not Selling P98
1104,"16 Bosworth Road, Woolgoolga NSW 2456","Bosworth Road, Woolgoolga, Coffs Harbour City Council, New South Wales, 2456, Australia",-30.1252184,153.1940863,Caltex,Not Selling U91    ,Not Selling P98
1141,"76-78 Shirley Street, Byron Bay NSW 2481","Shirley Street, Byron Bay, Byron Shire Council, New South Wales, 2481, Australia",-28.6406442,153.6070787,Caltex,145.9,166.9
1146,"100 Gipps Street, Bega NSW 2550","Gipps Street, Bega, Bega Valley Shire Council, New South Wales, 2550, Australia",-36.6769839,149.842672,Caltex,139.9,Not Selling P98
1147,"2 Perricoota Rd, Moama NSW 2731","Perricoota Road, Moama, Murray River Council, New South Wales, 2731, Australia",-36.09465595,144.7323226,Caltex,133.9,153.9
1148,"171 Sydney Road, KELSO NSW 2795","Sydney Road, Kelso, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia",-33.4187549,149.6041493,Caltex,Not Selling U91    ,155.9
1150,"77 Smith Street, Kempsey NSW 2440","Smith Street, Kempsey, Kempsey Shire Council, New South Wales, 2440, Australia",-31.0729702,152.8442456,Caltex,137.9,Not Selling P98
1151,"262 Byron Street, Inverell NSW 2360","Byron Street, Inverell, Inverell Shire Council, New South Wales, 2360, Australia",-29.7740258,151.1106888,Caltex,139.9,Not Selling P98
1153,"1 Bay Street, Port Macquarie NSW 2444","Bay Street, Port Macquarie, Port Macquarie-Hastings Council, New South Wales, 2444, Australia",-31.4290595,152.8913324,Caltex,136.9,156.9
1154,"79 Lee Street, Wellington NSW 2820","Lee Street, Wellington, Dubbo Regional Council, New South Wales, 2820, Australia",-32.546979,148.9414954,Caltex,Not Selling U91    ,158.9
1159,"272 Princes Highway, Bomaderry NSW 2541","Princes Highway, Bomaderry, Shoalhaven City Council, New South Wales, 2541, Australia",-34.8434876,150.5944414,Caltex,137.9,157.9
1160,"143 Meade Street, Glen Innes NSW 2370","Meade Street, Glen Innes, Glen Innes Severn Council, New South Wales, 2370, Australia",-29.7385871,151.7467532,Caltex,137.9,157.9
1163,"17 Forsyth Street, Wagga Wagga NSW 2650","Forsyth Street, Wagga Wagga, Wagga Wagga City Council, New South Wales, 2650, Australia",-35.1124845,147.3579129,Caltex,141.9,161.9
1164,"58 North Street, Nowra NSW 2541","Caltex, 58, North Street, Nowra, Shoalhaven City Council, New South Wales, 2541, Australia",-34.8725199,150.6013553,Caltex,139.9,159.9
1168,"115 Mann St, NAMBUCCA HEADS NSW 2448","Mann Street, Nambucca Heads, Nambucca Valley Council, New South Wales, 2448, Australia",-30.6367812,152.9846688,Caltex,Not Selling U91    ,Not Selling P98
1169,"47 Princes Highway, Fairy Meadow NSW 2519","Princes Highway, Fairy Meadow, Wollongong City Council, New South Wales, 2519, Australia",-34.3907248,150.8935312,Caltex,139.9,159.9
1173,"1609 Ocean Drive, Lake Cathie NSW 2445","Ocean Drive, Lake Cathie, Port Macquarie-Hastings Council, New South Wales, 2445, Australia",-31.5656195,152.8395224,Caltex,Not Selling U91    ,156.9
1177,"88 Murray Street, Cootamundra NSW 2590","Caltex Woolworths, 88, Murray Street, Cootamundra, Cootamundra-Gundagai Regional Council, New South Wales, 2590, Australia",-34.6364571,148.0250643,Caltex,Not Selling U91    ,156.9
1187,"2510 Silverdale Road, Wallacia NSW 2745","Silverdale Road, Wallacia, Sydney, Penrith City Council, New South Wales, 2745, Australia",-33.8651386,150.6401281,Caltex,Not Selling U91    ,153.7
1214,"125 Dora Street, Morisset NSW 2264","Dora Street, Morisset, Lake Macquarie City Council, New South Wales, 2264, Australia",-33.1128552,151.4785845,Caltex,Not Selling U91    ,Not Selling P98
1216,"1715 Yass Valley Way, Yass NSW 2582","Yass Valley Way, Yass, Yass Valley Council, New South Wales, 2582, Australia",-34.8224384,148.9066658,Caltex,Not Selling U91    ,Not Selling P98
1217,"142 Miller Street, Armidale NSW 2350","Miller Street, West Armidale, Armidale, Armidale Regional Council, New South Wales, 2350, Australia",-30.5190863,151.6467004,Caltex,Not Selling U91    ,Not Selling P98
1218,"16-18 Gill St, MOONBI NSW 2353","Gill Street, Moonbi, Tamworth Regional Council, New South Wales, 2353, Australia",-31.0222001,151.069733,Caltex,Not Selling U91    ,Not Selling P98
1219,"M1 Northbound, Wyong NSW 2259","Wyong Visitor Centre M1 Northbound, Wyong Service Centre Northbound, Alison, Central Coast Council, New South Wales, 2259, Australia",-33.2556618,151.4022763,Caltex,Not Selling U91    ,Not Selling P98
1221,"3964 Wallanbah Road, NABIAC NSW 2312","Wallanbah Road, Nabiac, Mid-Coast Council, New South Wales, 2312, Australia",-32.0988869,152.3742505,Caltex,Not Selling U91    ,Not Selling P98
1222,"21 ABBOTT ST, GUNNEDAH NSW 2380","Abbott Street, Gunnedah, Gunnedah Shire Council, New South Wales, 2380, Australia",-30.9822191,150.2532659,Caltex,Not Selling U91    ,Not Selling P98
1224,"6425 Newell Hwy, GILGANDRA NSW 2827","Caltex, 6425, Newell Highway, Gilgandra, Gilgandra Shire Council, New South Wales, 2827, Australia",-31.7255433,148.6531893,Caltex,Not Selling U91    ,Not Selling P98
1226,"1-7 Buchanan St, SOUTH MURWILLUMBAH NSW 2484","Buchanan Street, South Murwillumbah, Tweed Shire Council, New South Wales, 2484, Australia",-28.328242,153.4095128,Caltex,Not Selling U91    ,Not Selling P98
1228,"Cnr Manning River Dr & Glenthorne, Taree South NSW 2430","Manning River Drive, Glenthorne, Taree, Mid-Coast Council, New South Wales, 2430, Australia",-31.9197347,152.4610103,Caltex,Not Selling U91    ,Not Selling P98
1229,"22-36 Parkes Road, FORBES NSW 2871","Parkes Road, Forbes, Forbes Shire Council, New South Wales, 2871, Australia",-33.3793457,148.0126547,Caltex,Not Selling U91    ,Not Selling P98
1232,"99 Barrier Hwy, COBAR NSW 2835","Barrier Highway, Cobar, Cobar Shire Council, New South Wales, 2835, Australia",-31.5204267,145.5972962,Caltex,Not Selling U91    ,Not Selling P98
1233,"53 Durham Street, BATHURST NSW 2795","Durham Street, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia",-33.4159034,149.5834407,Caltex,Not Selling U91    ,Not Selling P98
1234,"M1 Southbound, Wyong NSW 2259","Wyong Visitor Centre M1 Southbound, Wyong Service Centre Southbound, Warnervale, Central Coast Council, New South Wales, 2259, Australia",-33.2540768,151.4053575,Caltex,Not Selling U91    ,Not Selling P98
1237,"4 Lancaster St, Ingleburn NSW 2565","Lancaster Street, Ingleburn, Sydney, Campbelltown City Council, New South Wales, 2565, Australia",-33.9955189,150.860702,Caltex,Not Selling U91    ,Not Selling P98
1238,"12-16 Sydney Street, MUSWELLBROOK NSW 2333","Sydney Street, Muswellbrook, Muswellbrook Shire Council, New South Wales, 2333, Australia",-32.2677826,150.8872449,Caltex,Not Selling U91    ,Not Selling P98
1239,"1-3 Penrhyn Rd, BANKSMEADOW NSW 2019","Penrhyn Road, Banksmeadow, Sydney, Bayside Council, New South Wales, 2019, Australia",-33.9620279,151.2146335,Caltex,Not Selling U91    ,Not Selling P98
1240,"24-26 Summerland Way, KYOGLE NSW 2474","Summerland Way, Wiangaree, Kyogle Council, New South Wales, 2474, Australia",-28.520133,152.9666312,Caltex,Not Selling U91    ,Not Selling P98
1242,"47 Plain St, Tamworth NSW 2340","Plain Street, Taminda, Tamworth, Tamworth Regional Council, New South Wales, 2340, Australia",-31.0860038,150.9160115,Caltex,Not Selling U91    ,Not Selling P98
1243,"51 Albury St, HOLBROOK NSW 2644","Albury Street, Holbrook, Greater Hume Shire Council, New South Wales, 2644, Australia",-35.7238578,147.3138187,Caltex,Not Selling U91    ,Not Selling P98
1244,"76 Narromine St, TRANGIE NSW 2823","Narromine Street, Trangie, Narromine Shire Council, New South Wales, 2823, Australia",-32.0293452,147.9805326,Caltex,Not Selling U91    ,Not Selling P98
1247,"Cnr Onyx St, LIGHTNING RIDGE NSW 2834","Onyx Street, Lightning Ridge, Walgett Shire Council, New South Wales, 2834, Australia",-29.4286387,147.9741577,Caltex,Not Selling U91    ,Not Selling P98
1248,"157 ORLANDO ST, COFFS HARBOUR NSW 2450","Orlando Street, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.3034878,153.1378795,Caltex,Not Selling U91    ,Not Selling P98
1249,"141 Church Street, GLOUCESTER NSW 2422","Church Street, Gloucester, Mid-Coast Council, New South Wales, 2422, Australia",-32.0109406,151.9586655,Caltex,Not Selling U91    ,Not Selling P98
1251,"22 COOPER ST, MACKSVILLE NSW 2447","22, Cooper Street, Macksville, Nambucca Valley Council, New South Wales, 2447, Australia",-30.7098161,152.9198988,Caltex,Not Selling U91    ,Not Selling P98
1253,"80-84 Campbell Street, MORUYA NSW 2537","Campbell Street, Moruya, Eurobodalla Shire Council, New South Wales, 2537, Australia",-35.9127809,150.0841278,Caltex,133.9,153.9
1254,"29 Lord St, PORT MACQUARIE NSW 2444","Lord Street, Taskers, Port Macquarie, Port Macquarie-Hastings Council, New South Wales, 2444, Australia",-31.4434028,152.9190884,Caltex,133.9,154.9
1255,"96 CENTRE ST, CASINO NSW 2470","Centre Street, Casino, Richmond Valley Council, New South Wales, 2470, Australia",-28.8765018,153.0431094,Caltex,141.9,162.9
1256,"162 Gipps Rd, Gwynneville NSW 2500","Gipps Road, Gwynneville, Wollongong City Council, New South Wales, 2500, Australia",-34.4162487,150.8837565,Caltex,135.9,156.9
1257,"100 Hastings River Dr, PORT MACQUARIE NSW 2444","Hastings River Drive, Port Macquarie, Port Macquarie-Hastings Council, New South Wales, 2444, Australia",-31.4323529,152.8914904,Caltex,Not Selling U91    ,156.9
1267,"91 Elsham Avenue, ORANGE NSW 2800","Elsham Avenue, Warrendine, Orange, Orange City Council, New South Wales, 2800, Australia",-33.304547,149.1071279,Caltex,Not Selling U91    ,Not Selling P98
1268,"28-32 Dyraaba St, Casino NSW 2470","Dyraaba Street, Casino, Richmond Valley Council, New South Wales, 2470, Australia",-28.8541552,153.0381237,Caltex,141.9,Not Selling P98
1274,"70 Court St, MANILLA NSW 2346","Court Street, Manilla, Tamworth Regional Council, New South Wales, 2346, Australia",-30.7492089,150.7226373,Caltex,141.9,Not Selling P98
1317,"399 Pacific Highway, Coffs Harbour NSW 2450","Pacific Highway, Archville, Bonville, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.3820795,153.0473463,Caltex,145.9,166.9
1318,"70- 74 Summer Street, ORANGE NSW 2800","Summer Street, Calare, Orange, Orange City Council, New South Wales, 2800, Australia",-33.2829157,149.0948987,Caltex,137.9,158.9
1320,"2 Minorca Place, TOORMINA NSW 2452","Minorca Place, Bayldon, Toormina, Coffs Harbour City Council, New South Wales, 2452, Australia",-30.3527064,153.0910511,Caltex,145.9,Not Selling P98
1321,"New England Highway, ARMIDALE NSW 2350","New England Highway, Ben Venue, Armidale, Armidale Regional Council, New South Wales, 2350, Australia",-30.4853686,151.6785699,Caltex,Not Selling U91    ,161.9
1322,"68 Goldsmith Street, GOULBURN NSW 2580","Goldsmith Street, Ifield, Goulburn, Goulburn Mulwaree Council, New South Wales, 2580, Australia",-34.7456285,149.7113803,Caltex,137.9,158.9
1323,"22 TREELANDS DR, YAMBA NSW 2464","Woolworths Petrol, 22, Treelands Drive, Crystal Waters, Yamba, Clarence Valley Council, New South Wales, 2464, Australia",-29.4270261,153.3278428,Caltex,145.9,166.9
1325,"1 Manning River Drive, CUNDLETOWN NSW 2430","Dawson River Tourist Park, 1, Manning River Drive, Cundletown, Mid-Coast Council, New South Wales, 2430, Australia",-31.8930744,152.5054981,Caltex,146.9,167.9
1326,"6-8 Queen Elizabeth Dr, ARMIDALE NSW 2350","Caltex, 6-8, Queen Elizabeth Drive, West Armidale, Armidale, Armidale Regional Council, New South Wales, 2350, Australia",-30.5034769,151.6510908,Caltex,137.9,158.9
1329,"2-4 Marsh Street, ARMIDALE NSW 2350","Caltex North Hill, 2-4, Marsh Street, North Hill, Armidale, Armidale Regional Council, New South Wales, 2350, Australia",-30.50324945,151.6727055,Caltex,Not Selling U91    ,157.9
1331,"142 Marsh St, ARMIDALE NSW 2350","Caltex, 142, Marsh Street, South Hill, Armidale, Armidale Regional Council, New South Wales, 2350, Australia",-30.5171009,151.6675847,Caltex,Not Selling U91    ,Not Selling P98
1334,"85-87 John St, COONABARABRAN NSW 2357","John Street, Coonabarabran, Warrumbungle Shire Council, New South Wales, 2357, Australia",-31.2773807,149.2788947,Caltex,Not Selling U91    ,Not Selling P98
1336,"31 Dangar St, NARRABRI NSW 2390","Dangar Street, Narrabri, Narrabri Shire Council, New South Wales, 2390, Australia",-30.3290693,149.7768532,Caltex,Not Selling U91    ,Not Selling P98
1338,"86-98 Princes Hwy, UNANDERRA NSW 2526","Princes Highway, Unanderra, Wollongong City Council, New South Wales, 2526, Australia",-34.457567,150.842317,Caltex,Not Selling U91    ,Not Selling P98
1339,"60 Windsor Parade, DUBBO NSW 2830","60, Windsor Parade, Dulhunty, Dubbo, Dubbo Regional Council, New South Wales, 2830, Australia",-32.2546377,148.6317321,Caltex,Not Selling U91    ,Not Selling P98
1340,"6 Kosciuszko rd, Jindabyne NSW 2627","Kosciuszko Road, Jindabyne, Snowy Monaro Regional Council, New South Wales, 2627, Australia",-36.4143846,148.6229247,Caltex,Not Selling U91    ,Not Selling P98
