,Address,Brand,Postcode,Price_DL,Price_DL_UpdatedDate,Price_E10,Price_E10_UpdatedDate,Price_E85,Price_E85_UpdatedDate,Price_LPG,Price_LPG_UpdatedDate,Price_P95,Price_P95_UpdatedDate,Price_P98,Price_P98_UpdatedDate,Price_PDL,Price_PDL_UpdatedDate,Price_U91,Price_U91_UpdatedDate,ServiceStationName,Suburb,latitude,longitude
35,"242 Parramatta Road, Homebush NSW 2140",Enhance,2140,,,135.8,05/01/2021 5:49,,,,,,,158.8,05/01/2021 5:49,,,138.8,05/01/2021 5:49,Enhance Homebush,Homebush,-33.8617267,151.0763447
36,"569 Great Western Highway, Werrington NSW 2747",BP,2747,,,134.9,05/01/2021 6:02,,,,,150.9,05/01/2021 6:02,161.9,05/01/2021 6:02,,,136.9,05/01/2021 6:02,BP Werrington service station,Werrington,-33.7659377,150.7484569
37,"51 LAMBTON RD, WARATAH NSW 2298",Enhance,2298,,,,,,,,,,,,,,,128.9,05/01/2021 6:06,Enhance Waratah,WARATAH,-32.9101603,151.7171252
38,"110 Canterbury Rd, BANKSTOWN NSW 2200",Metro Fuel,2200,,,130.7,05/01/2021 6:09,,,,,,,,,,,,,Metro Bankstown,BANKSTOWN,-33.9336729,151.0275134
39,"32 Princes Hwy, Arncliffe NSW 2205",Speedway,2205,,,137.4,05/01/2021 6:15,,,,,,,157.4,05/01/2021 6:15,,,139.4,05/01/2021 6:15,Speedway Arncliffe,Arncliffe,-33.9366891,151.1496695
40,"533,Mowbray Rd, Lane Cove NSW 2066",Metro Fuel,2066,,,,,,,,,,,164.7,05/01/2021 6:18,,,142.7,05/01/2021 6:18,Metro Lane Cove,Lane Cove,-33.8059651,151.1662588
42,"129 Piccadilly St, Riverstone NSW 2765",Independent,2765,,,129.7,05/01/2021 6:22,,,,,,,149.7,05/01/2021 6:22,,,131.7,05/01/2021 6:22,Independent Riverstone,Riverstone,-33.6802731,150.8692816
44,"29 President Ave, KOGARAH NSW 2217",Ampol,2217,,,134.9,05/01/2021 6:32,,,,,152.9,05/01/2021 6:32,161.9,05/01/2021 6:32,,,136.9,05/01/2021 6:32,Ampol Kogarah,KOGARAH,-33.9643783,151.137246
46,"1042 Great Western Highway, Minchinbury NSW 2770",7-Eleven,2770,,,133.9,05/01/2021 6:37,,,,,147.9,05/01/2021 6:37,153.9,05/01/2021 6:37,,,135.9,05/01/2021 6:37,7-Eleven Minchinbury,Minchinbury,-33.7781187,150.8093317
47,"30 Henry Street, Penrith NSW 2750",7-Eleven,2750,,,132.7,05/01/2021 6:37,,,,,146.7,05/01/2021 6:37,152.7,05/01/2021 6:37,,,134.7,05/01/2021 6:37,7-Eleven Penrith,Penrith,-33.7556595,150.7086254
48,"533,Mowbray Rd, Lane Cove NSW 2066",Metro Fuel,2066,,,,,,,,,,,159.9,05/01/2021 6:40,,,137.5,05/01/2021 6:40,Metro Lane Cove,Lane Cove,-33.8059651,151.1662588
50,"15-19 Aspen Street, Penrith South NSW 2750",7-Eleven,2750,,,132.7,05/01/2021 6:41,,,,,146.7,05/01/2021 6:41,152.7,05/01/2021 6:41,,,134.7,05/01/2021 6:41,7-Eleven Penrith South,Penrith South,-33.7770727,150.7113065
54,"585 Hume Hwy, YAGOONA NSW 2199",Metro Fuel,2199,,,129.7,05/01/2021 6:48,,,,,,,,,,,131.7,05/01/2021 6:48,Metro Yagoona,YAGOONA,-33.9071092,151.0227925
55,"62-68 Clinton Street, GOULBURN NSW 2580",Metro Fuel,2580,131.9,05/01/2021 6:55,131.9,05/01/2021 6:55,,,,,,,,,131.9,05/01/2021 6:55,,,Metro Petroleum Goulburn,GOULBURN,-34.7559414,149.7119086
56,"236 Morrison Road, Putney NSW 2112",BP,2112,,,,,,,,,147.9,05/01/2021 6:57,156.9,05/01/2021 6:57,,,134.9,05/01/2021 6:57,BP Putney,Putney,-33.823875,151.1083834
58,"277-281 Princes Highway, Carlton NSW 2218",Coles Express,2218,,,133.9,05/01/2021 7:00,,,,,150.9,05/01/2021 7:00,158.9,05/01/2021 7:00,,,135.9,05/01/2021 7:00,Coles Express Carlton,Carlton,-33.9765397,151.1253886
60,"2-6 General Holmes Drive, Brighton-Le-Sands NSW 2216",Coles Express,2216,,,134.9,05/01/2021 7:00,,,,,,,159.9,05/01/2021 7:00,,,,,Coles Express Brighton-Le-Sands,Brighton-Le-Sands,-33.9562897,151.1579731
63,"920 Richmond Rd, Marsden Park NSW 2765",Coles Express,2765,,,138.9,05/01/2021 7:00,,,,,155.9,05/01/2021 7:00,163.9,05/01/2021 7:00,,,140.9,05/01/2021 7:00,Coles Express Marsden Park,Marsden Park,-33.7157355,150.8426435
64,"101 Wallgrove Rd, EASTERN CREEK NSW 2766",BP,2766,,,133.9,05/01/2021 7:05,,,,,149.9,05/01/2021 7:05,158.9,05/01/2021 7:05,,,,,BP Eastern Creek T/S,EASTERN CREEK,-33.811943,150.8507428
65,"31-35 Unwins Bridge, Sydenham NSW 2044",Independent,2044,,,,,,,,,,,,,,,133.8,05/01/2021 7:06,Payless Fuel Sydenham,Sydenham,-33.9144577,151.1693149
66,"1540 Windsor Road, Vineyard NSW 2765",Independent,2765,128.7,05/01/2021 7:07,,,,,,,,,,,,,,,FREEDOM FUEL VINEYARD,Vineyard,-33.6228282,150.8373968
67,"851 Richmond Road, Marsden Park NSW 2765",BP,2765,,,138.9,05/01/2021 7:08,,,,,154.9,05/01/2021 7:08,163.9,05/01/2021 7:08,,,,,BP Marsden Park,Marsden Park,-33.6895593,150.8244864
68,"24-42 King Georges Road, Wiley Park NSW 2195",BP,2195,,,,,,,,,146.9,05/01/2021 7:08,155.9,05/01/2021 7:08,,,132.9,05/01/2021 7:08,BP Wiley Park,Wiley Park,-33.9227463,151.0684219
70,"2 Princes Highway, St Peters NSW 2044",BP,2044,,,137.9,05/01/2021 7:14,,,,,153.9,05/01/2021 7:14,162.9,05/01/2021 7:14,,,,,BP St Peters (NSW),St Peters,-33.9178818,151.1711506
71,"580-586 Parramatta Road, Croydon NSW 2132",BP,2132,,,145.9,05/01/2021 7:14,,,,,161.9,05/01/2021 7:14,170.9,05/01/2021 7:14,,,,,BP Ashfield,Croydon,-33.8706982,151.116475
74,"169 Willoughby Road, Naremburn NSW 2065",BP,2065,,,,,,,,,160.9,05/01/2021 7:17,169.9,05/01/2021 7:17,,,146.9,05/01/2021 7:17,BP Naremburn,Naremburn,-33.8220909,151.2009398
75,"339 Princes Highway, Sydenham NSW 2044",BP,2044,,,,,,,,,153.9,05/01/2021 7:17,162.9,05/01/2021 7:17,,,139.9,05/01/2021 7:17,BP Sydenham,Sydenham,-33.918088,151.1707272
76,"1/169 Annangrove Rd, Annangrove NSW 2156",Budget,2156,,,,,,,,,,,163.9,05/01/2021 7:20,,,144.9,05/01/2021 7:20,Budget Annangrove,Annangrove,-33.6688084,150.9519312
77,"313 Bobbin Head Road, NORTH TURRAMURRA NSW 2074",Independent,2074,,,,,,,,,,,167.9,05/01/2021 7:20,,,146.9,05/01/2021 7:20,BOBBIN HEAD PETROL STATION,NORTH TURRAMURRA,-33.719537,151.1433998
78,"73 Ettalong Rd, Greystanes NSW 2145",Metro Fuel,2145,,,130.9,05/01/2021 7:24,,,,,,,,,,,132.9,05/01/2021 7:24,Metro Fuel Greystanes,Greystanes,-33.8135903,150.9520343
79,"36 Henderson Road, Alexandria NSW 2015",Metro Fuel,2015,,,137.9,05/01/2021 7:26,,,,,,,158.9,05/01/2021 7:26,,,139.9,05/01/2021 7:26,Metro Fuel Alexandria,Alexandria,-33.89746645,151.1973243
81,"275 Bay Street, Brighton-Le-Sands NSW 2216",Budget,2216,,,134.7,05/01/2021 7:29,,,,,,,155.7,05/01/2021 7:29,,,136.7,05/01/2021 7:29,Budget Brighton,Brighton-Le-Sands,-33.9570852,151.1472362
82,"2742 Bells Line of Road, BILPIN NSW 2758",Metro Fuel,2758,,,,,,,,,,,,,,,133.7,05/01/2021 7:30,BILPIN PETROLEUM,BILPIN,-33.4970567,150.5141639
84,"236 Condamine Street, MANLY VALE NSW 2093",Caltex Woolworths,2093,,,148.9,05/01/2021 7:33,,,,,,,,,,,,,Caltex Manly Vale,MANLY VALE,-33.7851099,151.2673003
85,"641 King Georges Rd, PENSHURST NSW 2222",Caltex Woolworths,2222,,,132.7,05/01/2021 7:33,,,,,150.7,05/01/2021 7:33,159.7,05/01/2021 7:33,,,,,Caltex Star Mart Penshurst,PENSHURST,-33.9635286,151.0926271
86,"575-581 Great Western Highway, Faulconbridge NSW 2776",Coles Express,2776,,,144.9,05/01/2021 7:35,,,,,161.9,05/01/2021 7:35,169.9,05/01/2021 7:35,,,,,Coles Express Faulconbridge,Faulconbridge,-33.6941562,150.5373981
87,"144 Beaconsfield Street, MILPERRA NSW 2214",Metro Fuel,2214,,,129.7,05/01/2021 7:36,,,,,,,149.7,05/01/2021 7:36,,,131.7,05/01/2021 7:36,Metro Milperra,MILPERRA,-33.9419342,150.9945173
88,"88 - 92 Clinton Street, Goulburn NSW 2580",7-Eleven,2580,,,134.4,05/01/2021 7:37,,,,,148.4,05/01/2021 7:37,154.4,05/01/2021 7:37,,,136.4,05/01/2021 7:37,7-Eleven Goulburn,Goulburn,-34.7559414,149.7119086
89,"861 Richmond Road, MARSDEN PARK NSW 2765",7-Eleven,2765,,,138.4,05/01/2021 7:37,,,,,152.4,05/01/2021 7:37,158.4,05/01/2021 7:37,,,140.4,05/01/2021 7:37,7-Eleven Marsden Park,MARSDEN PARK,-33.6895593,150.8244864
91,"651 Princes Highway, Rockdale NSW 2216",Speedway,2216,,,132.9,05/01/2021 7:48,,,,,,,,,,,,,Speedway Rockdale,Rockdale,-33.9591901,151.1376967
92,"218 King Georges Road, Roselands NSW 2196",Caltex Woolworths,2196,,,130.4,05/01/2021 7:53,,,,,145.4,05/01/2021 7:53,152.4,05/01/2021 7:53,,,,,Caltex Woolworths Roselands,Roselands,-33.93310735,151.0735234
93,"114 Boundary Road, PEAKHURST NSW 2210",Metro Fuel,2210,,,130.9,05/01/2021 7:54,,,,,,,,,126.7,05/01/2021 7:54,,,Metro Peakhurst,PEAKHURST,-33.9588856,151.0638931
95,"474-478 Rocky Point Rd, SANS SOUCI NSW 2219",7-Eleven,2219,,,,,,,,,,,154.9,05/01/2021 7:57,,,136.9,05/01/2021 7:57,7-Eleven Sans Souci,SANS SOUCI,-33.9906255,151.1331651
99,"10 Crystal St, PETERSHAM NSW 2049",7-Eleven,2049,,,145.9,05/01/2021 8:01,,,,,159.9,05/01/2021 8:01,165.9,05/01/2021 8:01,,,147.9,05/01/2021 8:01,7-Eleven Petersham,PETERSHAM,-33.8949275,151.1571114
100,"13-15 Pacific Highway, GATESHEAD NSW 2290",7-Eleven,2290,,,,,,,,,157.4,05/01/2021 8:01,,,,,,,7-Eleven Gateshead,GATESHEAD,-32.9783116,151.6919256
102,"28 Princes Highway, Arncliffe NSW 2205",7-Eleven,2205,,,137.5,05/01/2021 8:01,,,,,,,157.5,05/01/2021 8:01,,,139.5,05/01/2021 8:01,7-Eleven Arncliffe,Arncliffe,-33.9366891,151.1496695
103,"210-214 Wollombi Road, Cessnock NSW 2325",7-Eleven,2325,,,125.5,05/01/2021 8:01,,,,,139.5,05/01/2021 8:01,145.5,05/01/2021 8:01,,,127.5,05/01/2021 8:01,7-Eleven Cessnock,Cessnock,-32.935174,151.1476962
104,"6,Doyle Rd, Revesby NSW 2210",Metro Fuel,2210,,,129.7,05/01/2021 8:02,,,,,,,149.7,05/01/2021 8:02,,,131.7,05/01/2021 8:02,Metro Revesby,Revesby,-33.9517183,151.0260996
105,"160 SOUTH TCE, BANKSTOWN NSW 2200",Metro Fuel,2200,,,128.5,05/01/2021 8:03,,,,,,,148.5,05/01/2021 8:03,,,130.5,05/01/2021 8:03,Metro Petroleum Bankstown South,BANKSTOWN,-33.9181896,151.0363065
108,"13-15 Pacific Highway, GATESHEAD NSW 2290",7-Eleven,2290,,,143.4,05/01/2021 8:08,,,,,,,163.4,05/01/2021 8:08,,,145.4,05/01/2021 8:08,7-Eleven Gateshead,GATESHEAD,-32.9783116,151.6919256
109,"577 Great Western Hwy, WERRINGTON NSW 2747",7-Eleven,2747,,,134.9,05/01/2021 8:08,,,,,148.9,05/01/2021 8:08,154.9,05/01/2021 8:08,,,136.9,05/01/2021 8:08,Werrington South,WERRINGTON,-33.7659377,150.7484569
110,"1055 Great Western Highway, Minchinbury NSW 2770",BP,2770,,,134.9,05/01/2021 8:08,,,,,150.9,05/01/2021 8:08,159.9,05/01/2021 8:08,,,,,BP Minchinbury,Minchinbury,-33.7781187,150.8093317
111,"646 Richmond Rd, Glendenning NSW 2761",BP,2761,,,,,,,,,152.9,05/01/2021 8:08,161.9,05/01/2021 8:08,,,138.9,05/01/2021 8:08,BP Glendenning,Glendenning,-33.7332637,150.8488703
112,"102 Maloney St, Eastlakes NSW 2018",Budget,2018,,,138.9,05/01/2021 8:09,,,,,149.7,05/01/2021 8:09,159.7,05/01/2021 8:09,,,139.7,05/01/2021 8:09,Budget Petrol Eastlakes,Eastlakes,-33.923324,151.2069627
113,"637 Forest Rd, PEAKHURST NSW 2210",Metro Fuel,2210,,,129.9,05/01/2021 8:09,,,,,,,149.9,05/01/2021 8:09,,,131.9,05/01/2021 8:09,Metro Peakhurst East,PEAKHURST,-33.9600908,151.0611464
114,"31 Bourke Street, TURVEY PARK NSW 2650",United,2650,134.9,05/01/2021 8:12,139.9,05/01/2021 8:12,,,,,,,,,,,139.9,05/01/2021 8:12,United Turvey Park,TURVEY PARK,-35.1221189,147.355271
115,"62-68 Clinton Street, GOULBURN NSW 2580",Metro Fuel,2580,126.7,05/01/2021 8:16,,,,,,,,,,,126.7,05/01/2021 8:16,134.9,05/01/2021 8:16,Metro Petroleum Goulburn,GOULBURN,-34.7559414,149.7119086
116,"181 The River Rd, REVESBY NSW 2212",Ampol,2212,,,131.9,05/01/2021 8:21,,,,,149.9,05/01/2021 8:21,158.9,05/01/2021 8:21,,,133.9,05/01/2021 8:21,Ampol Woolworths Revesby,REVESBY,-33.9406978,151.0184281
120,"11 Macquarie Street, Windsor NSW 2756",Caltex Woolworths,2756,,,139.9,05/01/2021 8:21,,,,,154.9,05/01/2021 8:21,161.9,05/01/2021 8:21,,,141.9,05/01/2021 8:21,Caltex Woolworths Windsor,Windsor,-33.6054609,150.8241958
121,"370 Railway Parade, Carlton NSW 2216",Independent,2216,,,132.9,05/01/2021 8:23,,,,,149.9,05/01/2021 8:23,,,,,135.9,05/01/2021 8:23,7 Express Carlton,Carlton,-33.9682696,151.1259593
122,"485 Sydney Road, Balgowlah NSW 2093",BP,2093,,,150.9,05/01/2021 8:23,,,,,,,175.9,05/01/2021 8:23,,,151.9,05/01/2021 8:23,BP Balgowlah,Balgowlah,-33.7938886,151.2604114
123,"65 Kenyons Road, Merrylands West NSW 2160",BP,2160,,,131.9,05/01/2021 8:30,,,,,,,,,,,,,BP Merrylands West,Merrylands West,-33.8359865,150.9741968
124,"126 Chapel Rd South, Bankstown NSW 2200",BP,2200,,,131.9,05/01/2021 8:30,,,,,,,,,,,,,BP Bankstown,Bankstown,-33.9224955,151.0308271
125,"1 Greenfield Rd, Greenfield Park NSW 2176",BP,2176,,,131.9,05/01/2021 8:30,,,,,,,,,,,,,BP Greenfield Park,Greenfield Park,-33.871608,150.8934807
126,"835 King Georges Road, South Hurstville NSW 2221",Coles Express,2221,,,132.9,05/01/2021 8:30,,,,,149.9,05/01/2021 8:30,157.9,05/01/2021 8:30,,,,,Coles Express South Hurstville,South Hurstville,-33.9833913,151.1091246
127,"948-950 Canterbury Rd, Roselands NSW 2196",Independent,2196,,,129.9,05/01/2021 8:31,,,,,,,149.9,05/01/2021 8:31,,,131.9,05/01/2021 8:31,Independent Roselands,Roselands,-33.9282723,151.0781347
128,"1004 Botany Rd., Mascot NSW 2020",Budget,2020,,,137.5,05/01/2021 8:32,,,,,,,157.5,05/01/2021 8:32,,,140.5,05/01/2021 8:32,BUDGET PETROL MASCOT,Mascot,-33.9381494,151.194712
131,"641 King Georges Rd, PENSHURST NSW 2222",Caltex Woolworths,2222,,,132.5,05/01/2021 8:33,,,,,150.5,05/01/2021 8:33,159.5,05/01/2021 8:33,,,,,Caltex Star Mart Penshurst,PENSHURST,-33.9635286,151.0926271
132,"198-199 Great Western Hwy, HAZELBROOK NSW 2779",Ampol,2779,,,146.9,05/01/2021 8:33,,,,,164.9,05/01/2021 8:33,,,,,,,Ampol Woolworths Hazelbrook,HAZELBROOK,-33.7223607,150.453094
133,"875 Richmond Rd, MARSDEN PARK NSW 2765",Ampol,2765,,,138.4,05/01/2021 8:33,,,,,153.4,05/01/2021 8:33,161.4,05/01/2021 8:33,,,140.4,05/01/2021 8:33,Ampol Foodary Marsden Park,MARSDEN PARK,-33.7160988,150.8457462
138,"862 Hume Highway, Bass Hill NSW 2197",Caltex Woolworths,2197,,,129.9,05/01/2021 8:36,,,,,144.9,05/01/2021 8:36,151.9,05/01/2021 8:36,,,131.9,05/01/2021 8:36,Caltex Woolworths Bass Hill,Bass Hill,-33.8990338,150.9964063
