Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
38,"533,Mowbray Rd, Lane Cove NSW 2066","533, Mowbray Road, Lane Cove North, Sydney, Lane Cove Municipal Council, Lower North Shore, New South Wales, 2066, Australia",-33.8059651,151.1662588,Metro Fuel,142.7,164.7
40,"129 Piccadilly St, Riverstone NSW 2765","Piccadilly Street, Riverstone, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.6802731,150.8692816,Independent,131.7,149.7
42,"29 President Ave, KOGARAH NSW 2217","President Avenue, Kogarah, Sydney, Georges River Council, St George, New South Wales, 2217, Australia",-33.9643783,151.137246,Ampol,136.9,161.9
43,"1042 Great Western Highway, Minchinbury NSW 2770","Great Western Highway, Minchinbury, Sydney, Blacktown City Council, New South Wales, 2770, Australia",-33.7781187,150.8093317,7-Eleven,135.9,153.9
48,"585 Hume Hwy, YAGOONA NSW 2199","Hume Highway, Yagoona, Sydney, Canterbury-Bankstown Council, New South Wales, 2199, Australia",-33.9071092,151.0227925,Metro Fuel,131.7,Not Selling P98
49,"62-68 Clinton Street, GOULBURN NSW 2580","Clinton Street, Goulburn, Goulburn Mulwaree Council, New South Wales, 2580, Australia",-34.7559414,149.7119086,Metro Fuel,Not Selling U91    ,Not Selling P98
50,"236 Morrison Road, Putney NSW 2112","236, Morrison Road, Putney, Sydney, Council of the City of Ryde, New South Wales, 2112, Australia",-33.823875,151.1083834,BP,134.9,156.9
52,"277-281 Princes Highway, Carlton NSW 2218","Princes Highway, Carlton, Sydney, Georges River Council, St George, New South Wales, 2218, Australia",-33.9765397,151.1253886,Coles Express,135.9,158.9
54,"2-6 General Holmes Drive, Brighton-Le-Sands NSW 2216","General Holmes Drive, Brighton-Le-Sands, Sydney, Bayside Council, New South Wales, 2216, Australia",-33.9562897,151.1579731,Coles Express,Not Selling U91    ,159.9
57,"920 Richmond Rd, Marsden Park NSW 2765","920, Richmond Road, Marsden Park, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.7157355,150.8426435,Coles Express,140.9,163.9
58,"101 Wallgrove Rd, EASTERN CREEK NSW 2766","101 Wallgrove Road, Eastern Creek, Sydney, Blacktown City Council, New South Wales, 2766, Australia",-33.811943,150.8507428,BP,Not Selling U91    ,158.9
59,"31-35 Unwins Bridge, Sydenham NSW 2044","Unwins Bridge Road, Sydenham, Sydney, Inner West Council, Inner West, New South Wales, 2044, Australia",-33.9144577,151.1693149,Independent,133.8,Not Selling P98
60,"1540 Windsor Road, Vineyard NSW 2765","Windsor Road, Vineyard, Sydney, Hawkesbury City Council, New South Wales, 2765, Australia",-33.6228282,150.8373968,Independent,Not Selling U91    ,Not Selling P98
61,"851 Richmond Road, Marsden Park NSW 2765","Richmond Road, Marsden Park, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.6895593,150.8244864,BP,Not Selling U91    ,163.9
62,"24-42 King Georges Road, Wiley Park NSW 2195","King Georges Road, Wiley Park, Sydney, Canterbury-Bankstown Council, New South Wales, 2195, Australia",-33.9227463,151.0684219,BP,132.9,155.9
